Dhc	C5	n=5	m=5
U????A?oF?]?}?~?^oB}?Nw?^o?^o?Nw?B}??^o?	C22(8, 9, 10, 11)	n=22	m=77
IQGOOIAOO	Cay(Z5xZ2,S=(0,),T=())	n=10	m=10
IrGWOMAOW	Cay(Z5xZ2,S=(0,),T=(1,))	n=10	m=15
IKC_GP@__	Cay(Z5xZ2,S=(1,),T=())	n=10	m=10
IlCgGT@_g	Cay(Z5xZ2,S=(1,),T=(1,))	n=10	m=15
I]KoWZBoo	Cay(Z5xZ2,S=(0, 1),T=())	n=10	m=20
N@`?G_G?GC?GO@GCO@?	Cay(Z5xZ3,S=(1,),T=())	n=15	m=15
NAI?OGO?O@?OGA_@GA?	Cay(Z5xZ3,S=(2,),T=())	n=15	m=15
NDp_goK?gE?KoDWES@_	Cay(Z5xZ3,S=(0, 1),T=())	n=15	m=30
NEY_oWS?oB?SgEoBKA_	Cay(Z5xZ3,S=(0, 2),T=())	n=15	m=30
NBj?WgW?WD?WWBgDWB?	Cay(Z5xZ3,S=(1, 2),T=())	n=15	m=30
NFz_ww[?wF?[wFwF[B_	Cay(Z5xZ3,S=(0, 1, 2),T=())	n=15	m=45
Sl`HGsG@GC_L?G?C_@G?L_?`?@H?@G_?s	Cay(Z5xZ4,S=(0,),T=(1, 3))	n=20	m=40
SQ`@OgG@?D?I?G?C?@O?I_?`?@@?@O_?g	Cay(Z5xZ4,S=(0,),T=(2,))	n=20	m=30
S?EA@?@A?G?O?@?G?A??OO?C_A?_AC?@?	Cay(Z5xZ4,S=(1,),T=())	n=20	m=20
SlEIHS@AGG_T?@?G_AG?TO?C_AG_AK?@S	Cay(Z5xZ4,S=(1,),T=(1, 3))	n=20	m=40
SQEAPG@A?H?Q?@?G?AO?QO?C_A?_AS?@G	Cay(Z5xZ4,S=(1,),T=(2,))	n=20	m=30
S?GSA?A?OO?_?A?@?C??_G?GO?S?CA?A?	Cay(Z5xZ4,S=(2,),T=())	n=20	m=20
SlG[ISA?WO_d?A?@_CG?dG?GO?[?CI?AS	Cay(Z5xZ4,S=(2,),T=(1, 3))	n=20	m=40
SQGSQGA?OP?a?A?@?CO?aG?GO?S?CQ?AG	Cay(Z5xZ4,S=(2,),T=(2,))	n=20	m=30
S?O_c?C?_A@??C?A??_@?C?Q??a??`?C?	Cay(Z5xZ4,S=(3,),T=())	n=20	m=20
SlOgkSC?gA`D?C?A_?g@DC?Q??i??h?CS	Cay(Z5xZ4,S=(3,),T=(1, 3))	n=20	m=40
SQO_sGC?_B@A?C?A??o@AC?Q??a??p?CG	Cay(Z5xZ4,S=(3,),T=(2,))	n=20	m=30
S?fB@_HB?K?W?H?K?B??Wo?d_B@_BC_@_	Cay(Z5xZ4,S=(0, 1),T=())	n=20	m=40
SQfBPgHB?L?Y?H?K?BO?Yo?d_B@_BS_@g	Cay(Z5xZ4,S=(0, 1),T=(2,))	n=20	m=50
S?hTA_I@OS?g?I?D?D??gg?hO@T?DA_A_	Cay(Z5xZ4,S=(0, 2),T=())	n=20	m=40
Slh\IsI@WS_l?I?D_DG?lg?hO@\?DI_As	Cay(Z5xZ4,S=(0, 2),T=(1, 3))	n=20	m=60
S?p`c_K@_E@G?K?E?@_@Gc?r?@b?@`_C_	Cay(Z5xZ4,S=(0, 3),T=())	n=20	m=40
SQp`sgK@_F@I?K?E?@o@Ic?r?@b?@p_Cg	Cay(Z5xZ4,S=(0, 3),T=(2,))	n=20	m=50
S?MUB?BAOW?o?B?H?E??oW?KoAS_EE?B?	Cay(Z5xZ4,S=(1, 2),T=())	n=20	m=40
SQMURGBAOX?q?B?H?EO?qW?KoAS_EU?BG	Cay(Z5xZ4,S=(1, 2),T=(2,))	n=20	m=50
S?Uad?DA_I@O?D?I?A_@OS?U_Aa_Ad?D?	Cay(Z5xZ4,S=(1, 3),T=())	n=20	m=40
SlUilSDAgI`T?D?I_Ag@TS?U_Ai_Al?DS	Cay(Z5xZ4,S=(1, 3),T=(1, 3))	n=20	m=60
S?Wse?E?oQ@_?E?B?C_@_K?YO?u?Cb?E?	Cay(Z5xZ4,S=(2, 3),T=())	n=20	m=40
SQWsuGE?oR@a?E?B?Co@aK?YO?u?Cr?EG	Cay(Z5xZ4,S=(2, 3),T=(2,))	n=20	m=50
S?nVB_JBO[?w?J?L?F??ww?loBT_FE_B_	Cay(Z5xZ4,S=(0, 1, 2),T=())	n=20	m=60
S?vbd_LB_M@W?L?M?B_@Ws?v_Bb_Bd_D_	Cay(Z5xZ4,S=(0, 1, 3),T=())	n=20	m=60
S?xte_M@oU@g?M?F?D_@gk?zO@v?Db_E_	Cay(Z5xZ4,S=(0, 2, 3),T=())	n=20	m=60
S?]uf?FAoY@o?F?J?E_@o[?]oAu_Ef?F?	Cay(Z5xZ4,S=(1, 2, 3),T=())	n=20	m=60
S?~vf_NBo]@w?N?N?F_@w{?~oBv_Ff_F_	Cay(Z5xZ4,S=(0, 1, 2, 3),T=())	n=20	m=80
