Dhc	Andrasfai(2)
[?AEFBo}BwFoFoBw?}?Fo?^??}??}C?^B?Fow?}F_Bw^?Fo^?FoN_BwBw?}?^?Fo	Circ(28;5.6.7.8.9)
[?AAD@OiAgTOTOigIiDTOTTAiiAiiDTT@TTOiiiAiigTTTOTTTOIiigAiii?TTTO	Circ(28;5.7.9.11.13)
[??????_A?S?s?y?]_Fs?~OB}_B}_D~O@^s?J}_?ny?@^s?@^s??ny??J}_?@^s?	Circ(28;9.11.12.13.14)
[???????C?W?w?{?^?Fw?~_B~?F~?B~_?~w?F~??^{??~w??~w??^{??F~???~w?	Circ(28;10.11.12.13.14)
\lUihSTAgI_T?T?I_Ag?T?@S?Ag?Ag?@S??T??Ag??I_??T_??TO??Is??Ai_??Ti??@S	Circ(29;1.3.5)
\lSgkTDGga`D@D?a_Gg@D?CS?Gg?Gg?CS?@D??Gk??ag?@DG?@DC??ap??GiG?@Dg_?CS	Circ(29;1.3.7)
\lSggUDOhAaDAD@A_OgAD?GS?Og?Og?GS?AD_?Oi?@Ac?ADC?ADA?@Ao_?OiC?ADgO?GS	Circ(29;1.3.8)
\lSggSD_iAcDCDAA__gCD?OS?_g?_g?OU?CDO?_h?AAa?CDA?CD@?AAoO?_iA?CDgG?OS	Circ(29;1.3.9)
\lSggSD?kAgDGDCA`?gGD?_S@?g@?k?_T?GDG@?g_CA`?GD@?GD?_CAoG@?i@?GDgC?_S	Circ(29;1.3.10)
\lSggSD?gAoDODGAa?gOD@?SA?kA?i@?S_ODCA?gOGA__OD?_OD?OGAoCA?i?_ODgA@?S	Circ(29;1.3.11)
\lSggSD?gA_D_DOAc?g_DA?UC?iC?hA?SO_DAC?gGOA_O_D?O_D?GOAoAC?i?O_Dg@A?S	Circ(29;1.3.12)
\hdLIchDGS_h?h?S_DG?h?Ac?DG?DG?Ac??h??DG??So??hO??hg??Si??DHO??hd??Ac	Circ(29;1.4.6)
\hdHKdHHGc`H@H?c_HG@H?Cc?HG?HG?Cc?@H??HK??cg?@HG?@Hc??ch??HHG?@Hc_?Cc	Circ(29;1.4.7)
\hdHGcH`ICcHCHAC_`GCH?Oc?`G?`G?Oe?CHO?`H?ACa?CHA?CH`?ACgO?`HA?CHcG?Oc	Circ(29;1.4.9)
\hdHGcH@KCgHGHCC`@GGH?_c@@G@@K?_d?GHG@@G_CC`?GH@?GH__CCgG@@H@?GHcC?_c	Circ(29;1.4.10)
\hdHGcH@GCoHOHGCa@GOH@?cA@KA@I@?c_OHCA@GOGC__OH?_OH_OGCgCA@H?_OHcA@?c	Circ(29;1.4.11)
\hdHGcH@GC_H_HOCc@G_HA?eC@IC@HA?cO_HAC@GGOC_O_H?O_H_GOCgAC@H?O_Hc@A?c	Circ(29;1.4.12)
\hdHGcH@GC_H?H_Cg@H?Hc?dG@HG@Gc?cH?H@G@GC_C_H?H?H?H_C_Cg@G@H?H?Hc?c?c	Circ(29;1.4.13)
\hEILDPIGg`P@P?g_IG@P?DC?IG?IG?DC?@P??IK??gg?@Pg?@PS??gd??IGg?@Pa_?DC	Circ(29;1.5.7)
\hEIHEPQHGaPAP@G_QGAP?HC?QG?QG?HC?AP_?QI?@Gc?APc?APQ?@Gc_?QGc?APaO?HC	Circ(29;1.5.8)
\hEIHCPaIGcPCPAG_aGCP?PC?aG?aG?PE?CPO?aH?AGa?CPa?CPP?AGcO?aGa?CPaG?PC	Circ(29;1.5.9)
\hEIHCPAGGoPOPGGaAGOP@@CAAKAAI@@C_OPCAAGOGG__OP__OPOOGGcCAAG__OPaA@@C	Circ(29;1.5.11)
\hEIHCPAGG_P?P_GgAH?Pc@DGAHGAGc@CH?P@GAGC_G_H?P_H?POC_Gc@GAG_H?Pa?c@C	Circ(29;1.5.13)
\hCKIE`SHOa`A`@O_SGA`?IC?SG?SG?IC?A`_?SI?@Os?A`S?A`I?@Oa_?SGS?A``O?IC	Circ(29;1.6.8)
\hCKIC`cIOc`C`AO_cGC`?QC?cG?cG?QE?C`O?cH?AOq?C`Q?C`H?AOaO?cGQ?C``G?QC	Circ(29;1.6.9)
\hCKIC`CKOg`G`CO`CGG`?aC@CG@CK?aD?G`G@CG_COp?G`P?G`G_COaG@CGP?G``C?aC	Circ(29;1.6.10)
\hCKIC`CGOo`O`GOaCGO`@ACACKACI@AC_O`CACGOGOo_O`O_O`GOGOaCACGO_O``A@AC	Circ(29;1.6.11)
\hCKIC`CGO_`?`_OgCH?`cADGCHGCGcACH?`@GCGC_OoH?`OH?`GC_Oa@GCGOH?``?cAC	Circ(29;1.6.13)
\hCGKD@gI_d@D@A__gGD@?SC?gG?gG?SE?D@O?gL?A_i?D@I?D@D?A_`O?gGI?D@_g?SC	Circ(29;1.7.9)
\hCGKD@GK_h@H@C_`GGH@?cC@GG@GK?cD?H@G@GK_C_h?H@H?H@C_C_`G@GGH?H@_c?cC	Circ(29;1.7.10)
\hCGKD@GG_`@`@O_cGG`@ACECGICGHACCO`@ACGKGO_gO`@GO`@CGO_`ACGGGO`@_`ACC	Circ(29;1.7.12)
\hCGKD@GG_`@@@__gGH@@cCDGGHGGGcCCH@@@GGKC__gH@@GH@@CC__`@GGGGH@@__cCC	Circ(29;1.7.13)
\hCGGE@OL?i@I@D?`OGI@?gC@OG@OK?gD?I@g@OI_D?d?I@D?I@A_D?_g@OGD?I@_S?gC	Circ(29;1.8.10)
\hCGGE@OH?q@Q@H?aOGQ@@GCAOKAOI@GC_Q@cAOIOH?c_Q@C_Q@AOH?_cAOGC_Q@_Q@GC	Circ(29;1.8.11)
\hCGGE@OH?a@a@P?cOGa@AGECOICOHAGCOa@aCOIGP?cOa@COa@AGP?_aCOGCOa@_PAGC	Circ(29;1.8.12)
\hCGGC@_I?c@c@Q?c_Gc@AOEC_IC_HAOEOc@QC_HGQ?aOc@AOc@@GQ?_QC_GAOc@_HAOC	Circ(29;1.9.12)
\hCGGC@_I?c@C@a?g_HC@cODG_HG_GcOEHC@PG_HCa?aHC@AHC@@Ca?_PG_GAHC@_GcOC	Circ(29;1.9.13)
\hCGGC@?K?g@g@S?d?Gg@A_ED?ID?LA_DOg@ID?GgS?`Og@@Og@?gS?_ID?G@Og@_DA_C	Circ(29;1.10.12)
\hCGGC@?K?g@G@c?h?HG@c_DH?HH?Kc_DHG@HH?Gcc?`HG@@HG@?cc?_HH?G@HG@_Cc_C	Circ(29;1.10.13)
\hCGGC@?G?o@O@g?i?HO@d?DI?LI?Id?ChO@DI?GSg?_hO@?hO@?Sg?_DI?G?hO@_Ad?C	Circ(29;1.11.13)
\UWosXEGob@E@E?b?Go@E?CW?Go?Go?CW?@E??Gs??bG?@EG?@EC??bP??GuG?@EW_?CW	Circ(29;2.3.7)
\UWooYEOpBAEAE@B?OoAE?GW?Oo?Oo?GW?AE_?Oq?@BC?AEC?AEA?@BO_?OuC?AEWO?GW	Circ(29;2.3.8)
\UWooWE_qBCECEAB?_oCE?OW?_o?_o?OY?CEO?_p?ABA?CEA?CE@?ABOO?_uA?CEWG?OW	Circ(29;2.3.9)
\UWooWE?sBGEGECB@?oGE?_W@?o@?s?_X?GEG@?o_CB@?GE@?GE?_CBOG@?u@?GEWC?_W	Circ(29;2.3.10)
\UWooWE?oBOEOEGBA?oOE@?WA?sA?q@?W_OECA?oOGB?_OE?_OE?OGBOCA?u?_OEWA@?W	Circ(29;2.3.11)
\UWooWE?oB?E_EOBC?o_EA?YC?qC?pA?WO_EAC?oGOB?O_E?O_E?GOBOAC?u?O_EW@A?W	Circ(29;2.3.12)
\UWooWE?oB?E?E?BO?u?EW?Wo?oo?oW?WE?E?o?oB?B?E?E?E?E?B?BO?o?u?E?EW?W?W	Circ(29;2.3.14)
\QIURGqEOX?q?q?X?EO?q?BG?EO?EO?BG??q??EO??XO??qo??qW??XE??ESo??qR??BG	Circ(29;2.5.6)
\QIQPIQQPHAQAQ@H?QOAQ?HG?QO?QO?HG?AQ_?QQ?@HC?AQc?AQQ?@HC_?QSc?AQQO?HG	Circ(29;2.5.8)
\QIQPGQaQHCQCQAH?aOCQ?PG?aO?aO?PI?CQO?aP?AHA?CQa?CQP?AHCO?aSa?CQQG?PG	Circ(29;2.5.9)
\QIQPGQAOHOQOQGHAAOOQ@@GAASAAQ@@G_OQCAAOOGH?_OQ__OQOOGHCCAAS__OQQA@@G	Circ(29;2.5.11)
\QIQPGQAOH?Q?Q_HGAP?Qc@HGAPGAOc@GH?Q@GAOC_H?H?Q_H?QOC_HC@GAS_H?QQ?c@G	Circ(29;2.5.13)
\QIQPGQAOH?Q?Q?HOAU?QW@GoAOoAOW@GE?Q?oAOB?H?E?Q_E?QOB?HC?oAS_E?QQ?W@G	Circ(29;2.5.14)
\QGSUHaKOp@a@a?p?KO@a?EG?KO?KO?EG?@a??KS??pW?@aW?@aK??pB??KSW?@aP_?EG	Circ(29;2.6.7)
\QGSQGacQPCaCaAP?cOCa?QG?cO?cO?QI?CaO?cP?APQ?CaQ?CaH?APAO?cSQ?CaPG?QG	Circ(29;2.6.9)
\QGSQGaCSPGaGaCP@COGa?aG@CO@CS?aH?GaG@CO_CPP?GaP?GaG_CPAG@CSP?GaPC?aG	Circ(29;2.6.10)
\QGSQGaCOPOaOaGPACOOa@AGACSACQ@AG_OaCACOOGPO_OaO_OaGOGPACACSO_OaPA@AG	Circ(29;2.6.11)
\QGSQGaCOP?a?a_PGCP?acAHGCPGCOcAGH?a@GCOC_POH?aOH?aGC_PA@GCSOH?aP?cAG	Circ(29;2.6.13)
\QGSQGaCOP?a?a?POCU?aWAGoCOoCOWAGE?a?oCOB?POE?aOE?aGB?PA?oCSOE?aP?WAG	Circ(29;2.6.14)
\QGOSJAWP`BABA@`?WOBA?KG?WO?WO?KG?BA_?WU?@`K?BAK?BAE?@`@_?WSK?BAOo?KG	Circ(29;2.7.8)
\QGOSHAGS`HAHAC`@GOHA?cG@GO@GS?cH?HAG@GS_C`H?HAH?HAC_C`@G@GSH?HAOc?cG	Circ(29;2.7.10)
\QGOSHAGO`@A`AO`CGO`AACICGQCGPACGO`AACGSGO`GO`AGO`ACGO`@ACGSGO`AO`ACG	Circ(29;2.7.12)
\QGOSHAGO`@A@A_`GGP@AcCHGGPGGOcCGH@A@GGSC_`GH@AGH@ACC_`@@GGSGH@AO_cCG	Circ(29;2.7.13)
\QGOOIAoR@EAEAB@?oOEA?WG?oO?oO?WI?EAo?oR?B@E?EAE?EAB?B@?o?oSE?EAOW?WG	Circ(29;2.8.9)
\QGOOIAOP@QAQAH@AOOQA@GGAOSAOQ@GG_QAcAOQOH@C_QAC_QAAOH@?cAOSC_QAOQ@GG	Circ(29;2.8.11)
\QGOOIAOP@AAaAP@COOaAAGICOQCOPAGGOaAaCOQGP@COaACOaAAGP@?aCOSCOaAOPAGG	Circ(29;2.8.12)
\QGOOIAOP@AAAA@@OOUAAWGGoOOoOOWGGEAA_oOQB@@CEAACEAAAB@@?_oOSCEAAOOWGG	Circ(29;2.8.14)
\QGOOGA_Q@CAcAQ@C_OcAAOIC_QC_PAOIOcAQC_PGQ@AOcAAOcA@GQ@?QC_SAOcAOHAOG	Circ(29;2.9.12)
\QGOOGA_Q@CACAa@G_PCAcOHG_PG_OcOIHCAPG_PCa@AHCAAHCA@Ca@?PG_SAHCAOGcOG	Circ(29;2.9.13)
\QGOOGA_Q@CACAA@O_UCAWOGo_Oo_OWOIECAOo_PBA@AECAAECA@BA@?Oo_SAECAOGWOG	Circ(29;2.9.14)
\QGOOGA?S@WAWAK@B?OWA@_GB?SB?U@_H_WAKB?OoK@@_WA@_WA?oK@?KB?S@_WAOE@_G	Circ(29;2.10.11)
\QGOOGA?S@GAGAc@H?PGAc_HH?PH?Sc_HHGAHH?Occ@@HGA@HGA?cc@?HH?S@HGAOCc_G	Circ(29;2.10.13)
\QGOOGA?S@GAGAC@P?UGAW_Gp?Op?SW_HEGAGp?ObC@@EGA@EGA?bC@?Gp?S@EGAOCW_G	Circ(29;2.10.14)
\QGOOGA?O@OAoAW@E?OoAB?IE?UE?RB?GooAEE?OWW@?ooA?ooA?WW@?EE?S?ooAOBB?G	Circ(29;2.11.12)
\QGOOGA?O@OAOAG@Q?UOAX?Gq?Sq?QX?GeOACq?ORG@?eOA?eOA?RG@?Cq?S?eOAOAX?G	Circ(29;2.11.14)
\QGOOGA?O@?A_Ao@K?P_Ae?JK?RK?Pe?GX_ABK?OKo@?X_A?X_A?Ko@?BK?S?X_AO@e?G	Circ(29;2.12.13)
\Crb`o[B_M?[?[?M?B_?[?@o?B_?B_?@o??[??B_??M???[_??[o??M[??Bb_??[M??@o	Circ(29;3.4.5)
\Cp`_oK`aECKCKAE?`_CK?Oo?`_?`_?Oq?CKO?``?AEA?CKA?CK`?AEWO?`bA?CKKG?Oo	Circ(29;3.4.9)
\Cp`_oK@cEGKGKCE@@_GK?_o@@_@@c?_p?GKG@@__CE@?GK@?GK__CEWG@@b@?GKKC?_o	Circ(29;3.4.10)
\Cp`_oK@_EOKOKGEA@_OK@?oA@cA@a@?o_OKCA@_OGE?_OK?_OK_OGEWCA@b?_OKKA@?o	Circ(29;3.4.11)
\Cp`_oK@_E?K_KOEC@__KA?qC@aC@`A?oO_KAC@_GOE?O_K?O_K_GOEWAC@b?O_KK@A?o	Circ(29;3.4.12)
\Cp`_oK@_E?K?K?EO@e?KW?oo@_o@_W?oE?K?o@_B?E?E?K?E?K_B?EW?o@b?E?KK?W?o	Circ(29;3.4.14)
\CQadPSI_i@S@S?i?I_@S?DO?I_?I_?DO?@S??Ic??iG?@Sg?@SS??iT??Iag?@SI_?DO	Circ(29;3.5.7)
\CQa`OSaaICSCSAI?a_CS?PO?a_?a_?PQ?CSO?a`?AIA?CSa?CSP?AISO?aaa?CSIG?PO	Circ(29;3.5.9)
\CQa`OSA_IOSOSGIAA_OS@@OAAcAAa@@O_OSCAA_OGI?_OS__OSOOGISCAAa__OSIA@@O	Circ(29;3.5.11)
\CQa`OSA_I?S?S?IOAe?SW@OoA_oA_W@OE?S?oA_B?I?E?S_E?SOB?IS?oAa_E?SI?W@O	Circ(29;3.5.14)
\CO_cRCW`aBCBC@a?W_BC?KO?W_?W_?KO?BC_?We?@aK?BCK?BCE?@aP_?WaK?BCGo?KO	Circ(29;3.7.8)
\CO_cPCgaaDCDCAa?g_DC?SO?g_?g_?SQ?DCO?gd?AaI?DCI?DCD?AaPO?gaI?DCGg?SO	Circ(29;3.7.9)
\CO_cPCG_a@C`COaCG_`CACQCGaCG`ACOO`CACGcGOaGO`CGO`CCGOaPACGaGO`CG`ACO	Circ(29;3.7.12)
\CO__QCobAECECBA?o_EC?WO?o_?o_?WQ?ECo?ob?BAE?ECE?ECB?BAOo?oaE?ECGW?WO	Circ(29;3.8.9)
\CO__QCOdAICICDA@O_IC?gO@O_@Oc?gP?ICg@Oa_DAD?ICD?ICA_DAOg@OaD?ICGS?gO	Circ(29;3.8.10)
\CO__QCO`AACaCPACO_aCAGQCOaCO`AGOOaCaCOaGPACOaCCOaCAGPAOaCOaCOaCGPAGO	Circ(29;3.8.12)
\CO__QCO`AACAC@AOOeACWGOoO_oO_WGOEAC_oOaB@ACEACCEACAB@AO_oOaCEACGOWGO	Circ(29;3.8.14)
\CO__OC_aACCCCAAO_eCCWOOo__o__WOQECCOo_`BAAAECCAECC@BAAOOo_aAECCGGWOO	Circ(29;3.9.14)
\CO__OC?cAWCWCKAB?_WC@_OB?cB?e@_P_WCKB?_oKA@_WC@_WC?oKAOKB?a@_WCGE@_O	Circ(29;3.10.11)
\CO__OC?cAGCgCSAD?_gCA_QD?aD?dA_POgCID?_gSA@OgC@OgC?gSAOID?a@OgCGDA_O	Circ(29;3.10.12)
\CO__OC?cAGCGCCAP?eGCW_Op?_p?cW_PEGCGp?_bCA@EGC@EGC?bCAOGp?a@EGCGCW_O	Circ(29;3.10.14)
\CO__OC?_AOCoCWAE?_oCB?QE?eE?bB?OooCEE?_WWA?ooC?ooC?WWAOEE?a?ooCGBB?O	Circ(29;3.11.12)
\?bFB_wF?[?w?w?[?F??w?B_?F??F??B_??w??F???[O??wo??ww??[M??F@o??wF??B_	Circ(29;4.5.6)
\?bBD`WJ?k@W@W?k?J?@W?D_?J??J??D_?@W??JC??kG?@Wg?@Ws??kL??J@g?@WE_?D_	Circ(29;4.5.7)
\?bB@_WB?KOWOWGKAB?OW@@_ABCABA@@__OWCAB?OGK?_OW__OWoOGKKCAB@__OWEA@@_	Circ(29;4.5.11)
\?bB@_WB?K?W?W_KGB@?Wc@`GB@GB?c@_H?W@GB?C_K?H?W_H?WoC_KK@GB@_H?WE?c@_	Circ(29;4.5.13)
\?bB@_WB?K?W?W?KOBE?WW@_oB?oB?W@_E?W?oB?B?K?E?W_E?WoB?KK?oB@_E?WE?W@_	Circ(29;4.5.14)
\?`DE`gL?s@g@g?s?L?@g?E_?L??L??E_?@g??LC??sW?@gW?@gk??sJ??L@W?@gD_?E_	Circ(29;4.6.7)
\?`DA_gdASCgCgAS?d?Cg?Q_?d??d??Qa?CgO?d@?ASQ?CgQ?Cgh?ASIO?d@Q?CgDG?Q_	Circ(29;4.6.9)
\?`DA_gD?SOgOgGSAD?Og@A_ADCADA@A__OgCAD?OGSO_OgO_OggOGSICAD@O_OgDA@A_	Circ(29;4.6.11)
\?`DA_gD?S?g?g_SGD@?gcA`GD@GD?cA_H?g@GD?C_SOH?gOH?ggC_SI@GD@OH?gD?cA_	Circ(29;4.6.13)
\?`DA_gD?S?g?g?SODE?gWA_oD?oD?WA_E?g?oD?B?SOE?gOE?ggB?SI?oD@OE?gD?WA_	Circ(29;4.6.14)
\?`@C`GhAcDGDGAc?h?DG?S_?h??h??Sa?DGO?hD?AcI?DGI?DGd?AcHO?h@I?DGCg?S_	Circ(29;4.7.9)
\?`@C`GHCcHGHGCc@H?HG?c_@H?@HC?c`?HGG@HC_CcH?HGH?HGc_CcHG@H@H?HGCc?c_	Circ(29;4.7.10)
\?`@C`GH?c@G`GOcCH?`GACaCHACH@AC_O`GACHCGOcGO`GGO`GcGOcHACH@GO`GC`AC_	Circ(29;4.7.12)
\?`@C`GH?c@G@G_cGH@@GcC`GH@GH?cC_H@G@GHCC_cGH@GGH@GcC_cH@GH@GH@GC_cC_	Circ(29;4.7.13)
\?`@?_G`ACCGcGQCC`?cGAOaC`AC`@AOaOcGQC`@GQCAOcGAOcG`GQCGQC`@AOcGCHAO_	Circ(29;4.9.12)
\?`@?_G`ACCGCGACO`ECGWO_o`?o`?WOaECGOo`@BACAECGAECG`BACGOo`@AECGCGWO_	Circ(29;4.9.14)
\?`@?_G@CCWGWGKCB@?WG@__B@CB@E@_`_WGKB@?oKC@_WG@_WG_oKCGKB@@@_WGCE@__	Circ(29;4.10.11)
\?`@?_G@CCGGgGSCD@?gGA_aD@AD@DA_`OgGID@?gSC@OgG@OgG_gSCGID@@@OgGCDA__	Circ(29;4.10.12)
\?`@?_G@CCGGGGcCH@@GGc_`H@@H@Cc_`HGGHH@?ccC@HGG@HGG_ccCGHH@@@HGGCCc__	Circ(29;4.10.13)
\?`@?_G@?COGoGWCE@?oGB?aE@EE@BB?_ooGEE@?WWC?ooG?ooG_WWCGEE@@?ooGCBB?_	Circ(29;4.11.12)
\?`@?_G@?COGOGgCI@@OGd?`I@DI@Ad?_hOGDI@?SgC?hOG?hOG_SgCGDI@@?hOGCAd?_	Circ(29;4.11.13)
\?`@?_G@?C?G_GOCS@E_GY?as@As@@Y?_U_GAs@?JOC?U_G?U_G_JOCGAs@@?U_GC@Y?_	Circ(29;4.12.14)
\?`@?_G@?C?G?G_CW@F?G{?`w@@w@?{?_N?G@w@?F_C?N?G?N?G_F_CG@w@@?N?GC?{?_	Circ(29;4.13.14)
\?AEF@oM?w@o@o?w?M?@o?F??M??M??F??@o??MC??wW?@ow?@o[??wF??M?w?@oB_?F?	Circ(29;5.6.7)
\?AEBAoU@WAoAo@W?U?Ao?J??U??U??J??Ao_?UA?@WS?Aos?AoY?@WE_?U?s?AoBO?J?	Circ(29;5.6.8)
\?AEB?oeAWCoCoAW?e?Co?R??e??e??RA?CoO?e@?AWQ?Coq?CoX?AWEO?e?q?CoBG?R?	Circ(29;5.6.9)
\?AEB?oE?W?o?o_WGE@?ocB@GE@GE?cB?H?o@GE?C_WOH?ooH?oWC_WE@GE?oH?oB?cB?	Circ(29;5.6.13)
\?AEB?oE?W?o?o?WOEE?oWB?oE?oE?WB?E?o?oE?B?WOE?ooE?oWB?WE?oE?oE?oB?WB?	Circ(29;5.6.14)
\?AADBOY@gBOBO@g?Y?BO?L??Y??Y??L??BO_?YE?@gK?BOk?BOU?@gD_?Y?k?BOAo?L?	Circ(29;5.7.8)
\?AAD@OiAgDODOAg?i?DO?T??i??i??TA?DOO?iD?AgI?DOi?DOT?AgDO?i?i?DOAg?T?	Circ(29;5.7.9)
\?AAD@OI?g@O@O_gGI@@OcD@GI@GI?cD?H@O@GICC_gGH@OgH@OSC_gD@GI?gH@OA_cD?	Circ(29;5.7.13)
\?AA@AOqBGEOEOBG?q?EO?X??q??q??XA?EOo?qB?BGE?EOe?EOR?BGCo?q?e?EOAW?X?	Circ(29;5.8.9)
\?AA@AOQ@GQOQOHGAQ?QO@H?AQCAQA@H?_QOcAQAOHGC_QOc_QOQOHGCcAQ?c_QOAQ@H?	Circ(29;5.8.11)
\?AA@AOQ@GAOAO@GOQEAOWH?oQ?oQ?WH?EAO_oQAB@GCEAOcEAOQB@GC_oQ?cEAOAOWH?	Circ(29;5.8.14)
\?AA@?OaAGCOCOaGGa@COcP@Ga@Ga?cPAHCOPGa@CaGAHCOaHCOPCaGCPGa?aHCOAGcP?	Circ(29;5.9.13)
\?AA@?OA?GOOOOGGQAEOOX@?qACqAAX@?eOOCqA?RGG?eOO_eOOORGGCCqA?_eOOAAX@?	Circ(29;5.11.14)
\?AA@?OA?G?O?O_GWAF?O{@@wA@wA?{@?N?O@wA?F_G?N?O_N?OOF_GC@wA?_N?OA?{@?	Circ(29;5.13.14)
\??CEB_[@oB_B_@o?[?B_?M??[??[??M??B__?[E?@o[?B_[?B_M?@oB_?[?[?B_@o?M?	Circ(29;6.7.8)
\??CE@_kAoD_D_Ao?k?D_?U??k??k??UA?D_O?kD?AoY?D_Y?D_L?AoBO?k?Y?D_@g?U?	Circ(29;6.7.9)
\??CE@_KCoH_H_Co@K?H_?e?@K?@KC?e@?H_G@KC_CoX?H_X?H_K_CoBG@K?X?H_@c?e?	Circ(29;6.7.10)
\??CAA_sBOE_E_BO?s?E_?Y??s??s??YA?E_o?sB?BOU?E_U?E_J?BOAo?s?U?E_@W?Y?	Circ(29;6.8.9)
\??CAA_SDOI_I_DO@S?I_?i?@S?@SC?i@?I_g@SA_DOT?I_T?I_I_DOAg@S?T?I_@S?i?	Circ(29;6.8.10)
\??CAA_S@OQ_Q_HOAS?Q_@I?ASCASA@I?_Q_cASAOHOS_Q_S_Q_IOHOAcAS?S_Q_@Q@I?	Circ(29;6.8.11)
\??CA?_cAOC_C_aOGc@C_cQ@Gc@Gc?cQAHC_PGc@CaOQHC_QHC_HCaOAPGc?QHC_@GcQ?	Circ(29;6.9.13)
\??CA?_CCOW_W_KOBC?W_@a?BCCBCE@a@_W_KBC?oKOP_W_P_W_GoKOAKBC?P_W_@E@a?	Circ(29;6.10.11)
\??CA?_CCOG_G_COPCEG_Wa?pC?pCCWa@EG_GpC?bCOPEG_PEG_GbCOAGpC?PEG_@CWa?	Circ(29;6.10.14)
\??CA?_C?OO_O_gOIC@O_dA@ICDICAdA?hO_DIC?SgOOhO_OhO_GSgOADIC?OhO_@AdA?	Circ(29;6.11.13)
\??CA?_C?OO_O_GOQCEO_XA?qCCqCAXA?eO_CqC?RGOOeO_OeO_GRGOACqC?OeO_@AXA?	Circ(29;6.11.14)
\??CA?_C?O?_?__OWCF?_{A@wC@wC?{A?N?_@wC?F_OON?_ON?_GF_OA@wC?ON?_@?{A?	Circ(29;6.13.14)
\???CB?wB_F?F?B_?w?F??[??w??w??[A?F?o?wF?B_M?F?M?F?F?B_@o?w?M?F??w?[?	Circ(29;7.8.9)
\???CB?WD_J?J?D_@W?J??k?@W?@WC?k@?J?g@WE_D_L?J?L?J?E_D_@g@W?L?J??s?k?	Circ(29;7.8.10)
\???CB?W@_B?b?P_CW?b?AKACWACW@AK?Ob?aCWEGP_KOb?KOb?EGP_@aCW?KOb??pAK?	Circ(29;7.8.12)
\???C@?gA_D?d?Q_Cg?d?ASACgACg@ASAOd?QCgDGQ_IOd?IOd?DGQ_@QCg?IOd??hAS?	Circ(29;7.9.12)
\???C@?GC_H?H?c_HG@H?cc@HG@HGCcc@HH?HHGCcc_HHH?HHH?Ccc_@HHG?HHH??ccc?	Circ(29;7.10.13)
\???C@?G?_@?`?o_KG@`?eCBKGBKG@eC?X`?BKGCKo_GX`?GX`?CKo_@BKG?GX`??`eC?	Circ(29;7.12.13)
\????A?oB?E?E?B?OoEE?WW?oo?oo?WWAEE?oooBBB?EEE?EEE?BBB??ooo?EEE??WWW?	Circ(29;8.9.14)
\????A?OD?I?i?T?DO?i?AgADOADODAg@Oi?iDOAgT?DOi?DOi?AgT??iDO?DOi??TAg?	Circ(29;8.10.12)
\????A?OD?I?I?D?POEI?Wg?pO?pOCWg@EI?gpOAbD?DEI?DEI?AbD??gpO?DEI??SWg?	Circ(29;8.10.14)
\????A?O@?Q?q?X?EO?q?BGAEOEEOBBG?oq?eEOAWX?Coq?Coq?AWX??eEO?Coq??RBG?	Circ(29;8.11.12)
\????A?O@?Q?Q?H?QOEQ?XG?qOCqOAXG?eQ?cqOARH?CeQ?CeQ?ARH??cqO?CeQ??QXG?	Circ(29;8.11.14)
\????A?O@?A?a?P?SOEa?YGAsOAsO@YG?Ua?asOAJP?CUa?CUa?AJP??asO?CUa??PYG?	Circ(29;8.12.14)
\??????_A?C?c?q?K_@c?eOBK_BK_@eOAXc?RK_@Kq?AXc?AXc?@Kq??RK_?AXc??HeO?	Circ(29;9.12.13)
\??????_A?C?c?Q?S_Ec?YOAs_As_@YOAUc?Qs_@JQ?AUc?AUc?@JQ??Qs_?AUc??HYO?	Circ(29;9.12.14)
\??????_A?C?C?a?W_FC?{O@w_@w_?{OANC?Pw_@Fa?ANC?ANC?@Fa??Pw_?ANC??G{O?	Circ(29;9.13.14)
\???????C?W?w?[?F??w?B_AF?EF?FB_@ow?MF??w[?@ow?@ow??w[??MF??@ow??FB_?	Circ(29;10.11.12)
\???????C?W?W?k?J?@W?d_@J?DJ?Ed_@hW?LJ??sk?@hW?@hW??sk??LJ??@hW??Ed_?	Circ(29;10.11.13)
\???????C?W?W?K?R?EW?X_?r?Cr?EX_@eW?Kr??rK?@eW?@eW??rK??Kr??@eW??EX_?	Circ(29;10.11.14)
\???????C?G?g?s?L?@g?e_BL?BL?De_@Xg?JL??ks?@Xg?@Xg??ks??JL??@Xg??De_?	Circ(29;10.12.13)
\???????C?G?g?S?T?Eg?Y_At?At?DY_@Ug?It??jS?@Ug?@Ug??jS??It??@Ug??DY_?	Circ(29;10.12.14)
\???????C?G?G?c?X?FG?{_@x?@x?C{_@NG?Hx??fc?@NG?@NG??fc??Hx??@NG??C{_?	Circ(29;10.13.14)
\?????????O?o?w?M?@o?f?BM?FM?Bf??xo?FM??[w??xo??xo??[w??FM???xo??Bf??	Circ(29;11.12.13)
\?????????O?o?W?U?Eo?Z?Au?Eu?BZ??uo?Eu??ZW??uo??uo??ZW??Eu???uo??BZ??	Circ(29;11.12.14)
\?????????O?O?g?Y?FO?|?@y?Dy?A|??nO?Dy??Vg??nO??nO??Vg??Dy???nO??A|??	Circ(29;11.13.14)
\lUilTTIgi`T@T?i_Ig@T?DS?Ig?Ig?DS?@T??Ik??ig?@Tg?@TS??it??Iig?@Ti_?DS	Circ(29;1.3.5.7)
